id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
693,BMW,328 i xDrive,2010,"132,000 mi.",Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,8500.0
694,Mercedes-Benz,E-Class E 300,2019,"32,580 mi.",Gasoline,2.0 Liter Turbo,Automatic,Obsidian Black Metallic,Beige,None reported,,33998.0
695,Land,Rover Discovery Sport S R-Dynamic,2022,"23,568 mi.",Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,,44998.0
696,Hyundai,Tucson Limited,2016,"138,000 mi.",Gasoline,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,10990.0
697,BMW,M5 Base,2018,"41,000 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,60200.0
698,Jeep,Compass Latitude,2020,"17,500 mi.",Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,25695.0
699,Audi,S4 3.0 Prestige,2012,"38,718 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,31000.0
700,Nissan,370Z Base,2009,"79,893 mi.",Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,15900.0
701,Jeep,Wrangler SE,2000,"95,200 mi.",Gasoline,120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,11999.0
702,Porsche,Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990.0
703,Cadillac,DTS Luxury,2007,"130,000 mi.",Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,At least 1 accident or damage reported,Yes,3499.0
704,INFINITI,FX50 Base,2009,"190,120 mi.",Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,12500.0
705,Kia,Optima EX,2015,"109,580 mi.",Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,11900.0
706,Tesla,Model 3 Long Range,2021,"23,749 mi.",,Electric,1-Speed Automatic,White,Black,None reported,,35999.0
707,Audi,RS 3 2.5T,2023,"1,900 mi.",Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78900.0
708,Karma,Revero Base,2018,"21,000 mi.",,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,51000.0
709,Alfa,Romeo Stelvio Ti Sport,2020,"18,665 mi.",Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Lunare White Metallic,Ice,None reported,Yes,35645.0
710,Chevrolet,Corvette Stingray w/3LT,2023,"4,200 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,98000.0
711,Ford,F-250 XLT,2014,"59,459 mi.",Diesel,400.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Silver,At least 1 accident or damage reported,Yes,40999.0
712,Acura,TLX PMC Edition,2020,"6,900 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,None reported,Yes,43500.0
713,Acura,TLX Base,2016,"45,000 mi.",Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Blue,None reported,Yes,16500.0
714,INFINITI,QX60 Luxe,2019,"51,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,–,At least 1 accident or damage reported,Yes,29000.0
715,Ford,Ranger XLT,1999,"115,402 mi.",E85 Flex Fuel,152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gold,Beige,None reported,Yes,8000.0
716,Porsche,Panamera GTS,2016,"42,526 mi.",Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,66200.0
717,Chevrolet,Silverado 1500 2LT,2014,"102,604 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,25500.0
718,Maserati,Ghibli S Q4,2017,"53,500 mi.",Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,28700.0
719,Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,"31,370 mi.",Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,None reported,Yes,65700.0
720,Ford,Explorer XLT,2014,"127,558 mi.",Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Green,Charcoal Black,None reported,Yes,13715.0
721,Chevrolet,Corvette Base,2007,"65,000 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,33885.0
722,Audi,A8 L 55,2019,"35,580 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,49500.0
723,Ford,Explorer Sport,2016,"95,500 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,20000.0
724,Cadillac,Escalade Premium Luxury,2023,600 mi.,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,103000.0
725,Dodge,Grand Caravan R/T,2013,"43,000 mi.",E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,35000.0
726,Porsche,Panamera Platinum Edition,2022,"13,500 mi.",Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,86999.0
727,Chevrolet,Camaro 2SS,2010,"8,949 mi.",Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,Yes,30000.0
728,Land,Rover Range Rover Sport HST MHEV,2020,"37,248 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Silver,Black,None reported,Yes,54500.0
729,BMW,M2 Competition,2020,500 mi.,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,70000.0
730,Mercedes-Benz,GL-Class GL 450 4MATIC,2012,"174,000 mi.",Gasoline,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,11999.0
731,Porsche,911 Carrera Cabriolet,2001,"21,450 mi.",Gasoline,300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,36000.0
732,Lincoln,MKC Base,2015,"95,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,14900.0
733,MINI,Cooper S Base,2007,"118,000 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,Yes,3600.0
734,Jaguar,XK Base,2013,"55,700 mi.",Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,27200.0
735,Volvo,XC70 3.2,2008,"170,000 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,7000.0
736,Lincoln,MKZ Reserve,2017,"37,375 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Brown,None reported,Yes,27500.0
737,Land,Rover Range Rover Evoque SE Premium,2018,"42,125 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,38999.0
738,Subaru,WRX Premium,2017,"62,662 mi.",Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,24000.0
739,Nissan,Murano SV,2020,"47,147 mi.",Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Brilliant Silver Metallic,Graphite,None reported,Yes,23625.0
740,Kia,Stinger GT1,2021,"8,288 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45899.0
741,Ford,F-150 XLT,2018,"72,393 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,35000.0
742,Porsche,Macan S,2022,"20,250 mi.",Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500.0
743,Mercedes-Benz,GLS 450 Base 4MATIC,2019,"33,481 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Almond Beige,None reported,,43999.0
744,Kia,Forte Koup EX,2015,"103,748 mi.",Gasoline,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8500.0
745,Dodge,Charger Scat Pack,2020,"40,208 mi.",Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,38000.0
746,Lamborghini,Huracan EVO Base,2020,"6,246 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Nero Noctis,Nero Ade,None reported,Yes,267950.0
747,Mercedes-Benz,E-Class E 300 4MATIC,2017,"31,000 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,White,At least 1 accident or damage reported,Yes,38000.0
748,Lexus,LS 500 Base,2018,"67,296 mi.",Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv","Automatic, 10-Spd",–,–,None reported,,40900.0
749,Lexus,CT 200h Base,2016,"39,750 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,21995.0
750,BMW,X6 xDrive40i,2020,"45,076 mi.",Gasoline,3.0 Liter Turbo,Automatic,Blue,Black,None reported,,57998.0
751,Ford,Maverick Lariat,2022,"13,700 mi.",Hybrid,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,Brown,None reported,Yes,39500.0
752,Chevrolet,Corvette Stingray w/1LT,2023,"9,000 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,82500.0
753,Jeep,Wrangler Unlimited Sport,2013,"77,634 mi.",Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Gecko Pearlcoat,Black,None reported,,24590.0
754,Mercedes-Benz,Sprinter 2500 Standard Roof,2022,"4,590 mi.",Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,64000.0
755,BMW,M235 i,2015,"68,750 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,25999.0
756,Acura,Integra GS-R,1995,"123,000 mi.",–,–,5-Speed M/T,White,Blue,None reported,Yes,10999.0
757,Chevrolet,Tahoe LT,2011,"92,530 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,18500.0
758,Ford,Explorer XLT,2022,"18,533 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Ebony,None reported,Yes,38978.0
759,Lexus,RX 450h Base,2013,"119,755 mi.",Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,19500.0
760,Subaru,Impreza WRX,2012,"106,000 mi.",Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,15000.0
761,Hyundai,Palisade SEL,2020,"69,487 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,32000.0
762,Honda,Accord Sport,2013,"405,000 mi.",Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,6000.0
763,Audi,A5 2.0T Premium,2018,"67,035 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Pink,Brown,At least 1 accident or damage reported,Yes,31500.0
764,Volkswagen,Eos 2.0T,2007,"59,700 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,White,None reported,Yes,10000.0
765,Land,Rover Range Rover Velar P380 S,2018,"46,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,40000.0
766,Jeep,Wrangler Sahara Altitude,2023,"1,563 mi.",Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,62500.0
767,Alfa,Romeo Stelvio Ti,2023,"6,645 mi.",Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Alfa White,Black,None reported,,43900.0
768,Audi,A4 2.0T Premium,2011,"90,818 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,8300.0
769,Jeep,Wrangler Sport,2010,"87,250 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,18500.0
770,Ferrari,488 Spider Base,2019,"9,005 mi.",Gasoline,3.9L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,White,–,None reported,,319900.0
771,Tesla,Model S P100D,2018,"10,065 mi.",,Electric,1-Speed Automatic,Red Multi,White,None reported,,59999.0
772,Ford,Mustang Bullitt,2019,"48,500 mi.",Gasoline,480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,44999.0
773,Lexus,RX 350 Base,2011,"187,450 mi.",Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10400.0
774,Nissan,Altima 2.5 S,2003,"189,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,2899.0
775,Dodge,Ram 2500 Laramie Quad Cab,2006,"218,000 mi.",Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,12990.0
776,Mercedes-Benz,AMG C 43 Base 4MATIC,2017,"54,500 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,37995.0
777,Kia,Sportage X-Pro,2023,459 mi.,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Jungle Green,Black,None reported,,36998.0
778,Saturn,Sky Red Line,2009,"134,000 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,9500.0
779,BMW,328 i xDrive,2013,"96,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,13500.0
780,BMW,Z3 3.0i Roadster,2001,"103,990 mi.",Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Beige,None reported,Yes,10500.0
781,Mercedes-Benz,AMG GT R,2018,"3,811 mi.",Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,148500.0
782,Chevrolet,Corvette Stingray w/2LT,2022,"2,010 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,None reported,Yes,89000.0
783,Lincoln,Mark LT Base,2006,"87,500 mi.",Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,12999.0
784,Bentley,Bentayga Activity Edition,2018,"41,000 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,113000.0
785,Tesla,Model Y Long Range,2022,"21,404 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,49500.0
786,Volvo,S40 T5,2005,"257,700 mi.",Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,3550.0
787,Dodge,Durango GT,2021,"14,684 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,DB Black Clearcoat,Black,None reported,,37995.0
788,Ford,Expedition EL King Ranch,2011,"156,856 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Brown,None reported,Yes,14300.0
789,Chevrolet,Suburban Premier,2019,"51,338 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,49900.0
790,Chrysler,Town & Country LX,2009,"73,500 mi.",Gasoline,170.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,7858.0
791,RAM,3500 Tradesman,2023,"2,990 mi.",Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,69900.0
792,BMW,335 i,2009,"51,983 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,White,None reported,Yes,19999.0
793,Volvo,XC90 T6 Inscription,2020,"22,500 mi.",Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,White,None reported,Yes,50000.0
794,Chrysler,300C Base,2007,"86,000 mi.",Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,15000.0
795,BMW,X1 sDrive28i,2014,"50,100 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,10795.0
796,Hummer,H2 Base,2006,"169,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,At least 1 accident or damage reported,Yes,16900.0
797,Mercedes-Benz,GLE 350 Base,2020,"26,293 mi.",Gasoline,2.0 Liter Turbo,Automatic,designo Diamond White Bright,Macchiato/Magmagrey,None reported,,49998.0
798,Toyota,Avalon XLE,2015,"90,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,18200.0
799,Mercedes-Benz,AMG G 63 Base,2017,"39,800 mi.",Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Red,None reported,Yes,99000.0
800,BMW,740 i,2017,"55,000 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,40000.0
801,Ford,Mustang EcoBoost Premium,2017,"59,500 mi.",Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000.0
802,RAM,ProMaster 3500 Tradesman,2014,"143,390 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,–,None reported,Yes,13000.0
803,Porsche,Cayman S,2007,"5,856 mi.",Gasoline,295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,45000.0
804,Porsche,911 Carrera Cabriolet,2006,"96,275 mi.",Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,Yes,52500.0
805,Mercedes-Benz,E-Class E 350 4MATIC,2010,"86,121 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,13600.0
806,Lamborghini,Murcielago Base,2006,"10,000 mi.",Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,259000.0
807,Dodge,Dakota SLT,2003,"141,800 mi.",Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,5700.0
808,Mazda,Mazda6 Touring,2021,"19,000 mi.",Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,,,25900.0
809,GMC,Sierra 2500 Denali,2024,"2,043 mi.",Gasoline,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,81500.0
810,Chevrolet,Malibu LT,2018,"53,100 mi.",Gasoline,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,None reported,Yes,17500.0
811,RAM,3500 Laramie,2013,"106,385 mi.",Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,42900.0
812,Chevrolet,Equinox 2LT,2012,"96,653 mi.",Gasoline,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,7500.0
813,Tesla,Model Y Long Range,2020,"88,000 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,Yes,35500.0
814,Hyundai,Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0
815,Lexus,ES 300h Base,2018,"100,868 mi.",Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,At least 1 accident or damage reported,Yes,23400.0
816,Tesla,Model Y Long Range,2022,"4,665 mi.",,Dual Motor - Standard,Automatic,Silver,Black,None reported,,46598.0
817,Ford,Mustang V6,2013,"57,912 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,18750.0
818,Ford,Thunderbird Premium,2005,"82,000 mi.",Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,White,None reported,Yes,14900.0
819,Genesis,G80 2.5T,2022,"7,396 mi.",Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black Forest Green,Black,None reported,,41299.0
820,Ford,Mustang GT Premium,2011,"74,500 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,22000.0
821,Ford,Mustang GT Premium,2019,"35,500 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,32300.0
822,Toyota,4Runner 4WD,1999,"267,000 mi.",Gasoline,150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Beige,At least 1 accident or damage reported,Yes,8000.0
823,Kia,K5 EX,2021,"11,154 mi.",Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacial White Pearl,Black,None reported,,28998.0
824,Subaru,Impreza 2.0i,2015,"102,242 mi.",Gasoline,"2L H-4 DOHC, variable valve control, regular unleaded, engine wi",Manual,Quartz Blue Pearl,Black,At least 1 accident or damage reported,,11498.0
825,Ford,Mustang GT,2006,"27,407 mi.",Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Red,None reported,Yes,21750.0
826,Kia,Forte GT-Line,2023,"15,500 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,24500.0
827,BMW,330 i xDrive,2017,"75,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,20000.0
828,Land,Rover Range Rover Sport HSE Dynamic,2019,"77,690 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,43500.0
829,Cadillac,Escalade ESV Platinum,2017,"93,971 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,47000.0
830,Porsche,911 Carrera,2020,"12,758 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,107900.0
831,MINI,Cooper Base,2010,"74,000 mi.",Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,9650.0
832,BMW,X6 M Base,2018,"48,000 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,54000.0
833,Mercedes-Benz,AMG G AMG G 63 4MATIC,2016,"32,936 mi.",Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,90000.0
834,Porsche,911 Carrera 4S,2018,"31,678 mi.",Gasoline,3.0 Liter,–,Silver,–,None reported,,106798.0
835,Acura,ILX Technology Plus Package,2016,"61,000 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000.0
836,Dodge,Charger SE,2017,"63,250 mi.",Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,18650.0
837,Nissan,Versa 1.8 S,2011,"109,902 mi.",Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,4500.0
838,Mazda,MX-5 Miata Base,1992,"125,800 mi.",–,–,5-Speed M/T,Red,Black,None reported,Yes,11500.0
839,Audi,A8 L 55,2019,"23,350 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,48000.0
840,Lexus,RX 350 F SPORT Appearance,2021,"28,262 mi.",Gasoline,3.5 Liter,Automatic,Obsidian,–,None reported,,49998.0
